Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
228,318.600,1119.800,264.000,974.600,616.900,1832.900,307.602,1124.033
229,314.500,1368.000,264.000,974.600,616.900,1832.900,311.051,1246.017
230,310.000,1203.500,264.000,974.600,616.900,1832.900,310.525,1224.758
231,304.700,1166.700,264.000,974.600,616.900,1832.900,307.613,1195.729
232,283.500,1129.400,264.000,974.600,616.900,1832.900,295.556,1162.565
233,277.100,1132.300,264.000,974.600,616.900,1832.900,286.328,1147.432
234,277.000,1127.500,264.000,974.600,616.900,1832.900,281.664,1137.466
235,278.800,1100.300,264.000,974.600,616.900,1832.900,280.232,1118.883
236,275.900,1133.900,264.000,974.600,616.900,1832.900,278.066,1126.392
237,296.300,1226.900,264.000,974.600,616.900,1832.900,287.183,1176.646
238,311.100,1180.000,264.000,974.600,616.900,1832.900,299.142,1178.323
239,325.200,1400.300,264.000,974.600,616.900,1832.900,312.171,1289.311
240,379.100,1156.600,264.000,974.600,616.900,1832.900,345.635,1222.956
241,293.300,1062.000,264.000,974.600,616.900,1832.900,319.468,1142.478
242,289.800,1064.600,264.000,974.600,616.900,1832.900,304.634,1103.539
243,286.800,1070.900,264.000,974.600,616.900,1832.900,295.717,1087.219
244,291.200,1078.700,264.000,974.600,616.900,1832.900,293.458,1082.960
245,277.800,1091.100,264.000,974.600,616.900,1832.900,285.629,1087.030
246,276.100,1152.400,264.000,974.600,616.900,1832.900,280.865,1119.715
247,290.800,1187.500,264.000,974.600,616.900,1832.900,285.832,1153.607
248,338.700,1259.800,264.000,974.600,616.900,1832.900,312.266,1206.704
249,312.200,1186.100,264.000,974.600,616.900,1832.900,312.233,1196.402
250,279.600,1134.500,264.000,974.600,616.900,1832.900,295.917,1165.451
251,275.900,1104.100,264.000,974.600,616.900,1832.900,285.908,1134.775
252,274.500,1108.200,264.000,974.600,616.900,1832.900,280.204,1121.488
253,281.000,1100.800,264.000,974.600,616.900,1832.900,280.602,1111.144
254,280.200,1107.900,264.000,974.600,616.900,1832.900,280.401,1109.522
255,273.400,1093.400,264.000,974.600,616.900,1832.900,276.901,1101.461
256,287.300,1096.600,264.000,974.600,616.900,1832.900,282.100,1099.030
257,316.900,1179.300,264.000,974.600,616.900,1832.900,299.500,1139.165
258,344.600,1210.700,264.000,974.600,616.900,1832.900,322.050,1174.933
259,324.600,1098.600,264.000,974.600,616.900,1832.900,323.325,1136.766
260,292.800,1077.500,264.000,974.600,616.900,1832.900,308.063,1107.133
261,273.100,1079.600,264.000,974.600,616.900,1832.900,290.581,1093.367
262,279.100,1095.400,264.000,974.600,616.900,1832.900,284.841,1094.383
263,279.700,1073.300,264.000,974.600,616.900,1832.900,282.270,1083.842
264,280.500,1104.600,264.000,974.600,616.900,1832.900,281.385,1094.221
265,276.800,1104.700,264.000,974.600,616.900,1832.900,279.093,1099.460
266,276.700,1117.900,264.000,974.600,616.900,1832.900,277.896,1108.680
267,296.100,1178.800,264.000,974.600,616.900,1832.900,286.998,1143.740
268,354.000,1324.500,264.000,974.600,616.900,1832.900,320.499,1234.120
269,328.100,1163.200,264.000,974.600,616.900,1832.900,324.300,1198.660
270,281.100,1112.800,264.000,974.600,616.900,1832.900,302.700,1155.730
271,286.700,1074.600,264.000,974.600,616.900,1832.900,294.700,1115.165
272,290.500,1065.400,264.000,974.600,616.900,1832.900,292.600,1090.283
273,288.600,1095.000,264.000,974.600,616.900,1832.900,290.600,1092.641
274,284.500,1096.700,264.000,974.600,616.900,1832.900,287.550,1094.671
275,273.400,1072.100,264.000,974.600,616.900,1832.900,280.475,1083.385
276,285.700,1093.000,264.000,974.600,616.900,1832.900,283.087,1088.193
277,293.400,1168.900,264.000,974.600,616.900,1832.900,288.244,1128.546
278,390.800,1198.700,264.000,974.600,616.900,1832.900,339.522,1163.623
279,323.500,1139.400,264.000,974.600,616.900,1832.900,331.511,1151.512
280,295.800,1180.200,264.000,974.600,616.900,1832.900,313.655,1165.856
281,321.500,1150.000,264.000,974.600,616.900,1832.900,317.578,1157.928
282,326.200,1123.100,264.000,974.600,616.900,1832.900,321.889,1140.514
283,281.600,1141.600,264.000,974.600,616.900,1832.900,301.744,1141.057
284,276.600,1118.200,264.000,974.600,616.900,1832.900,289.172,1129.628
285,281.100,1147.300,264.000,974.600,616.900,1832.900,285.136,1138.464
286,274.100,1161.300,264.000,974.600,616.900,1832.900,279.618,1149.882
287,291.900,1232.700,264.000,974.600,616.900,1832.900,285.759,1191.291
288,406.100,1276.100,264.000,974.600,616.900,1832.900,345.930,1233.696
289,358.000,1124.900,264.000,974.600,616.900,1832.900,351.965,1179.298
290,293.700,1099.200,264.000,974.600,616.900,1832.900,322.832,1139.249
291,287.200,1081.500,264.000,974.600,616.900,1832.900,305.016,1110.374
292,278.600,1096.200,264.000,974.600,616.900,1832.900,291.808,1103.287
293,277.200,1082.500,264.000,974.600,616.900,1832.900,284.504,1092.894
294,279.400,1074.700,264.000,974.600,616.900,1832.900,281.952,1083.797
295,266.400,1096.300,264.000,974.600,616.900,1832.900,274.176,1090.048
296,278.800,1081.700,264.000,974.600,616.900,1832.900,276.488,1085.874
297,275.100,1158.600,264.000,974.600,616.900,1832.900,275.794,1122.237
298,354.800,1499.400,264.000,974.600,616.900,1832.900,315.297,1310.819
299,341.300,1138.800,264.000,974.600,616.900,1832.900,328.299,1224.809
300,280.200,1108.300,264.000,974.600,616.900,1832.900,304.249,1166.555
